id,seperator,Key,Value,Count,w,Description,battleArea,spawnPoint,treasureReward,restingArea,questGiver,walkable
leisure_stadium,_,leisure,stadium,"48 976
0.61%",,A major sports facility with substantial tiered seating.,0.1,0.1,0.1,0.1,0.1,0.1
leisure_golf_course,_,leisure,golf_course,"39 374
0.49%",,A golf course,0.1,0.1,0.1,0.1,0.1,0.1
leisure_outdoor_seating,_,leisure,outdoor_seating,"36 184
0.45%",,"A seating area, usually for the consumption of food and drink from neighbouring cafes and restaurants, often belonging to one or more of them, but not necessarily adjacent.",2,5,6,10,8,4
leisure_common,_,leisure,common,"33 984
0.43%",,Identify land over which the public has general rights of use for certain leisure activities.,6,5,3,5,4,2
leisure_firepit,_,leisure,firepit,"28 273
0.35%",,"A fire ring or fire pit, often at a campsite or picnic site",2,9,9,9,9,1
leisure_marina,_,leisure,marina,"27 515
0.34%",,A facility for mooring leisure yachts and motor boats.,0.1,0.1,0.1,0.1,0.1,0.1
leisure_bleachers,_,leisure,bleachers,"26 454
0.33%",,"Raised, tiered rows of benches found at spectator events",0.5,1,3,9,2,1
leisure_dog_park,_,leisure,dog_park,"19 144
0.24%",,"A designated area, with or without a fenced boundary, where dog-owners are permitted to exercise their pets unrestrained.",0.1,0.5,0.5,0.1,0.1,0.5
leisure_sports_hall,_,leisure,sports_hall,"27 412
0.30%",✔,"A sufficiently large single room that is suitable for practising sports indoors and does not have a ""centre"" character.",0.1,0.1,0.1,0.1,0.1,0.1
leisure_resort,_,leisure,resort,"19 181
0.21%",✔,"A place used for relaxation or recreation, attracting visitors for vacations, tourism and/or going swimming in a pool and/or a nearby body of water.",0.1,0.1,0.1,0.1,0.1,0.1
leisure_horse_riding,_,leisure,horse_riding,"17 827
0.19%",✔,"A facility where people practise horse riding, usually in their spare time, e.g. a riding centre. For a riding arena use tag:leisure=pitch + tag:sport=equestrian.",0.1,0.1,0.1,0.1,0.1,0.1
leisure_fishing,_,leisure,fishing,"15 704
0.17%",✔,A public or private place for fishing,0.1,0.1,0.1,0.1,0.1,0.1
leisure_sauna,_,leisure,sauna,"15 630
0.17%",✔,A room or object designed as a place to dry a wet or dry body.,0.1,0.1,0.1,0.1,0.1,0.1
leisure_water_park,_,leisure,water_park,"12 660
0.14%",✔,"An amusement park with features like water slides, recreational pools (e.g. wave pools) or lazy rivers.",0.1,0.1,0.1,0.1,0.1,0.1
leisure_beach_resort,_,leisure,beach_resort,"12 140
0.13%",✔,"A managed beach, including within the boundary any associated facilities. Entry may also require payment of a fee.",1,1,2,1,1,1
utility_power,_,utility,power,"162 428
49.19%",✔,Infrastructure related to electricity transmission and distribution towards industries and domestic consumers,0,0,0,0,0,0
utility_telecom,_,utility,telecom,"58 585
17.74%",✔,Infrastructure related to telecommunications networks providing phone and internet service towards industries and domestic subscribers,0,0,0,0,0,0
utility_gas,_,utility,gas,"51 126
15.48%",✔,Infrastructure related to gas transmission and distribution towards industries and domestic consumers,0,0,0,0,0,0
utility_telecom;power,_,utility,telecom;power,"14 180
4.29%",-,,0,0,0,0,0,0
fee_no,_,fee,no,"1 269 153
75.03%",✔,,1,1,1,1,1,1
fee_yes,_,fee,yes,"405 478
23.97%",✔,,0.1,0.1,0.1,0.1,0.1,0.1
elevator_yes,_,elevator,yes,"4 435
80.67%",-,,0,1,1,0,0,2
abandoned_yes,_,abandoned,yes,"114 890
91.58%",✔,A man-made feature abandoned and no longer maintained. Also see abandoned:* namespace.,3,3,4,3,3,2
abandoned_no,_,abandoned,no,"2 050
1.63%",-,,,,,,,
route_bus,_,route,bus,"290 137
25.13%",✔,The route of a public bus service.,0.1,0.1,0.1,0.1,0.1,0.1
route_road,_,route,road,"257 637
22.32%",✔,Relation type used to combine road sections.,,,,,,
route_hiking,_,route,hiking,"242 359
20.99%",✔,A signed hiking Route,2,5,1,2,1,10
route_bicycle,_,route,bicycle,"117 547
10.18%",✔,"Cycle routes or bicycle route are named or numbered or otherwise signed routes. May go along roads, trails or dedicated cycle paths.",0.5,0.5,0.5,0.5,0.5,0.5
route_foot,_,route,foot,"63 308
5.48%",✔,A signed walking Route,2,5,1,2,1,10
route_ferry,_,route,ferry,"32 808
2.84%",✔,The route of a public ferry or water bus.,0,0,0,0,0,0
route_mtb,_,route,mtb,"29 037
2.52%",✔,"MTB (Mountain Bike) routes are named, numbered or otherwise signed routes, designated for mountain biking. May go along roads, trails or dedicated cycle paths.",0.5,0.5,0.5,0.5,0.5,0.5
route_power,_,route,power,"22 927
1.99%",✔,,,,,,,
route_train,_,route,train,"15 146
1.31%",✔,The route of a train service (e.g. London-Paris Eurostar),0,0,0,0,0,0
route_railway,_,route,railway,"14 986
1.30%",✔,The route of a railway (e.g. the Channel Tunnel). Not to be confused with the route of a passenger train service (see route=train ).,0,0,0,0,0,0
area:highway_footway,_,area:highway,footway,"68 115
22.77%",✔,An area representation of footways.,0.01,0.01,0.01,0.01,0.01,1
area:highway_traffic_island,_,area:highway,traffic_island,"39 050
13.05%",✔,An area representation of traffic island.,0.01,0.01,0.01,0.01,0.01,0.01
area:highway_residential,_,area:highway,residential,"28 265
9.45%",-,,0.01,0.01,0.01,0.01,0.01,0.01
area:highway_service,_,area:highway,service,"23 964
8.01%",-,,0.01,0.01,0.01,0.01,0.01,0.01
area:highway_tertiary,_,area:highway,tertiary,"19 528
6.53%",-,,0.01,0.01,0.01,0.01,0.01,0.01
area:highway_yes,_,area:highway,yes,"18 203
6.08%",-,,0.01,0.01,0.01,0.01,0.01,0.01
area:highway_secondary,_,area:highway,secondary,"14 592
4.88%",-,,0.01,0.01,0.01,0.01,0.01,0.01
area:highway_emergency,_,area:highway,emergency,"12 255
4.10%",-,,0.01,0.01,0.01,0.01,0.01,0.01
area:highway_primary,_,area:highway,primary,"10 555
3.53%",-,,0.01,0.01,0.01,0.01,0.01,0.01
area:highway_cycleway,_,area:highway,cycleway,"10 105
3.38%",✔,An area representation of cycleways.,0.01,0.01,0.01,0.01,0.01,0.01
area:highway_pedestrian,_,area:highway,pedestrian,"8 163
2.73%",✔,An area representation of pedestrian zones.,0.01,0.01,0.01,0.01,0.01,1
public_transport_platform,_,public_transport,platform,"3 495 206
63.73%",✔,The place where passengers are waiting for the public transport vehicles.,0.1,0.1,0.1,0.1,0.1,1
public_transport_stop_position,_,public_transport,stop_position,"1 336 713
24.37%",✔,The position on the street or rails where a public transport vehicle stops.,0,0,0,0,0,1
public_transport_stop_area,_,public_transport,stop_area,"452 208
8.25%",✔,"A relation that contains all elements of a train, subway, monorail, tram, bus, trolleybus, aerialway, or ferry stop.",0,0,0,0,0,1
public_transport_station,_,public_transport,station,"177 225
3.23%",✔,A station is an area designed to access public transport.,0.01,0.01,0.01,0.01,0.01,1
lit_yes,_,lit,yes,"8 921 462
76.97%",✔,,3,3,3,3,3,3
lit_no,_,lit,no,"2 601 767
22.45%",✔,,2,2,2,2,2,2
drinking_water_yes,_,drinking_water,yes,"82 103
54.10%",✔,,2,3,7,9,7,6
drinking_water_no,_,drinking_water,no,"65 046
42.86%",✔,,2,3,5,5,4,3
addr:housenumber_*,_,addr:housenumber,*,,,,0.1,0.1,0.1,0.1,0.1,0.1
recycling_type_container,_,recycling_type,container,"446 093
92.33%",✔,"A recycling container, or a group of them.",2,4,4,0.2,0.2,3
,,,no,,,,,,,,,
,,,339 789,,,,,,,,,
,,,44.75%,,,,,,,,,
,,,✔,,,,,,,,,
,,,yes,,,,,,,,,
,,,227 330,,,,,,,,,
,,,29.94%,,,,,,,,,
,,,✔,,,,,,,,,
